normalized_name,drug_name,ingredient_name,atc_code,atc_group_code,atc_group_name,atc_class_label,drug_class
levacetylmethadol,levacetylmethadol,levacetylmethadol,N07BC03,N07BC,Drugs used in opioid dependence,Drugs used in opioid dependence,unknown
levamisole,levamisole,levamisole,P02CE01,P02CE,Imidazothiazole derivatives,Imidazothiazole derivatives,unknown
levetiracetam,levetiracetam,levetiracetam,N03AX14,N03AX,Other antiepileptics,Other antiepileptics,unknown
levobunolol,levobunolol,levobunolol,S01ED03,S01ED,Beta blocking agents,Beta blocking agents,unknown
levobupivacaine,levobupivacaine,levobupivacaine,N01BB10,N01BB,Amides,Amides,unknown
levocabastine,levocabastine,levocabastine,R01AC02,R01AC,"Antiallergic agents, excl. corticosteroids","Antiallergic agents, excl. corticosteroids",unknown
levocarnitine,levocarnitine,levocarnitine,A16AA01,A16AA,Amino acids and derivatives,Amino acids and derivatives,unknown
levocetirizine,levocetirizine,levocetirizine,R06AE09,R06AE,Piperazine derivatives,Piperazine derivatives,antihistamine
levodopa,levodopa,levodopa,N04BA01,N04BA,Dopa and dopa derivatives,Dopa and dopa derivatives,unknown
levodropropizine,levodropropizine,levodropropizine,R05DB27,R05DB,Other cough suppressants,Other cough suppressants,unknown
levofloxacin,levofloxacin,levofloxacin,J01MA12,J01MA,Fluoroquinolones,Fluoroquinolones,fluoroquinolone
levomepromazine,levomepromazine,levomepromazine,N05AA02,N05AA,Phenothiazines with aliphatic side-chain,Phenothiazines with aliphatic side-chain,unknown
levomethadone,levomethadone,levomethadone,N07BC05,N07BC,Drugs used in opioid dependence,Drugs used in opioid dependence,unknown
levonadifloxacin,levonadifloxacin,levonadifloxacin,J01MA24,J01MA,Fluoroquinolones,Fluoroquinolones,fluoroquinolone
levonorgestrel,levonorgestrel,levonorgestrel,G03AD01,G03AD,Emergency contraceptives,Emergency contraceptives,unknown
levosimendan,levosimendan,levosimendan,C01CX08,C01CX,Other cardiac stimulants,Other cardiac stimulants,unknown
levosulpiride,levosulpiride,levosulpiride,N05AL07,N05AL,Benzamides,Benzamides,unknown
levothyroxine sodium,levothyroxine sodium,levothyroxine sodium,H03AA01,H03AA,Thyroid hormones,Thyroid hormones,unknown
levoverbenone,levoverbenone,levoverbenone,R05CA11,R05CA,Expectorants,Expectorants,unknown
lidocaine,lidocaine,lidocaine,C01BB01,C01BB,"Antiarrhythmics, class Ib","Antiarrhythmics, class Ib",unknown
lidoflazine,lidoflazine,lidoflazine,C08EX01,C08EX,Other non-selective calcium channel blockers,Other non-selective calcium channel blockers,unknown
lifitegrast,lifitegrast,lifitegrast,S01XA25,S01XA,Other ophthalmologicals,Other ophthalmologicals,unknown
linaclotide,linaclotide,linaclotide,A06AX04,A06AX,Other drugs for constipation,Other drugs for constipation,unknown
linagliptin,linagliptin,linagliptin,A10BH05,A10BH,Dipeptidyl peptidase 4 (DPP-4) inhibitors,Dipeptidyl peptidase 4 (DPP-4) inhibitors,unknown
lincomycin,lincomycin,lincomycin,J01FF02,J01FF,Lincosamides,Lincosamides,unknown
lindane,lindane,lindane,P03AB02,P03AB,Chlorine containing products,Chlorine containing products,unknown
linezolid,linezolid,linezolid,J01XX08,J01XX,Other antibacterials,Other antibacterials,unknown
linopirdine,linopirdine,linopirdine,N06BX09,N06BX,Other psychostimulants and nootropics,Other psychostimulants and nootropics,unknown
linseed,linseed,linseed,A06AC05,A06AC,Bulk-forming laxatives,Bulk-forming laxatives,unknown
linsidomine,linsidomine,linsidomine,C01DX18,C01DX,Other vasodilators used in cardiac diseases,Other vasodilators used in cardiac diseases,unknown
liothyronine sodium,liothyronine sodium,liothyronine sodium,H03AA02,H03AA,Thyroid hormones,Thyroid hormones,unknown
lipegfilgrastim,lipegfilgrastim,lipegfilgrastim,L03AA14,L03AA,Colony stimulating factors,Colony stimulating factors,unknown
liquid paraffin,liquid paraffin,liquid paraffin,A06AA01,A06AA,"Softeners, emollients","Softeners, emollients",unknown
liraglutide,liraglutide,liraglutide,A10BJ02,A10BJ,Glucagon-like peptide-1 (GLP-1) analogues,Glucagon-like peptide-1 (GLP-1) analogues,unknown
lisdexamfetamine,lisdexamfetamine,lisdexamfetamine,N06BA12,N06BA,Centrally acting sympathomimetics,Centrally acting sympathomimetics,unknown
lisinopril,lisinopril,lisinopril,C09AA03,C09AA,"ACE inhibitors, plain","ACE inhibitors, plain",ace_inhibitor
lisuride,lisuride,lisuride,G02CB02,G02CB,Prolactine inhibitors,Prolactine inhibitors,unknown
lithium,lithium,lithium,N05AN01,N05AN,Lithium,Lithium,unknown
lithium succinate,lithium succinate,lithium succinate,D11AX04,D11AX,Other dermatologicals,Other dermatologicals,unknown
lixisenatide,lixisenatide,lixisenatide,A10BJ03,A10BJ,Glucagon-like peptide-1 (GLP-1) analogues,Glucagon-like peptide-1 (GLP-1) analogues,unknown
lobeglitazone,lobeglitazone,lobeglitazone,A10BG04,A10BG,Thiazolidinediones,Thiazolidinediones,unknown
lodoxamide,lodoxamide,lodoxamide,S01GX05,S01GX,Other antiallergics,Other antiallergics,unknown
lofepramine,lofepramine,lofepramine,N06AA07,N06AA,Non-selective monoamine reuptake inhibitors,Non-selective monoamine reuptake inhibitors,unknown
lofexidine,lofexidine,lofexidine,N07BC04,N07BC,Drugs used in opioid dependence,Drugs used in opioid dependence,unknown
lomefloxacin,lomefloxacin,lomefloxacin,J01MA07,J01MA,Fluoroquinolones,Fluoroquinolones,fluoroquinolone
lomitapide,lomitapide,lomitapide,C10AX12,C10AX,Other lipid modifying agents,Other lipid modifying agents,unknown
lomustine,lomustine,lomustine,L01AD02,L01AD,Nitrosoureas,Nitrosoureas,unknown
lonazolac,lonazolac,lonazolac,M01AB09,M01AB,Acetic acid derivatives and related substances,Acetic acid derivatives and related substances,nsaid
lonidamine,lonidamine,lonidamine,L01XX07,L01XX,Other antineoplastic agents,Other antineoplastic agents,unknown
loperamide,loperamide,loperamide,A07DA03,A07DA,Antipropulsives,Antipropulsives,unknown
loperamide oxide,loperamide oxide,loperamide oxide,A07DA05,A07DA,Antipropulsives,Antipropulsives,unknown
loprazolam,loprazolam,loprazolam,N05CD11,N05CD,Benzodiazepine derivatives,Benzodiazepine derivatives,benzodiazepine
loracarbef,loracarbef,loracarbef,J01DC08,J01DC,Second-generation cephalosporins,Second-generation cephalosporins,cephalosporin
lorajmine,lorajmine,lorajmine,C01BA12,C01BA,"Antiarrhythmics, class Ia","Antiarrhythmics, class Ia",unknown
loratadine,loratadine,loratadine,R06AX13,R06AX,Other antihistamines for systemic use,Other antihistamines for systemic use,antihistamine
lorazepam,lorazepam,lorazepam,N05BA06,N05BA,Benzodiazepine derivatives,Benzodiazepine derivatives,benzodiazepine
lorcainide,lorcainide,lorcainide,C01BC07,C01BC,"Antiarrhythmics, class Ic","Antiarrhythmics, class Ic",unknown
lorcaserin,lorcaserin,lorcaserin,A08AA11,A08AA,Centrally acting antiobesity products,Centrally acting antiobesity products,unknown
lorlatinib,lorlatinib,lorlatinib,L01ED05,L01ED,Anaplastic lymphoma kinase (ALK) inhibitors,Anaplastic lymphoma kinase (ALK) inhibitors,unknown
lormetazepam,lormetazepam,lormetazepam,N05CD06,N05CD,Benzodiazepine derivatives,Benzodiazepine derivatives,benzodiazepine
lornoxicam,lornoxicam,lornoxicam,M01AC05,M01AC,Oxicams,Oxicams,nsaid
losartan,losartan,losartan,C09CA01,C09CA,"Angiotensin II receptor blockers (ARBs), plain","Angiotensin II receptor blockers (ARBs), plain",arb
loteprednol,loteprednol,loteprednol,S01BA14,S01BA,"Corticosteroids, plain","Corticosteroids, plain",unknown
lovastatin,lovastatin,lovastatin,C10AA02,C10AA,HMG CoA reductase inhibitors,HMG CoA reductase inhibitors,statin
loxapine,loxapine,loxapine,N05AH01,N05AH,"Diazepines, oxazepines, thiazepines and oxepines","Diazepines, oxazepines, thiazepines and oxepines",unknown
lubiprostone,lubiprostone,lubiprostone,A06AX03,A06AX,Other drugs for constipation,Other drugs for constipation,unknown
luliconazole,luliconazole,luliconazole,D01AC18,D01AC,Imidazole and triazole derivatives,Imidazole and triazole derivatives,unknown
lumasiran,lumasiran,lumasiran,A16AX18,A16AX,Various alimentary tract and metabolism products,Various alimentary tract and metabolism products,unknown
lumiracoxib,lumiracoxib,lumiracoxib,M01AH06,M01AH,Coxibs,Coxibs,nsaid
lurasidone,lurasidone,lurasidone,N05AE05,N05AE,Indole derivatives,Indole derivatives,unknown
lurbinectedin,lurbinectedin,lurbinectedin,L01XX69,L01XX,Other antineoplastic agents,Other antineoplastic agents,unknown
luseogliflozin,luseogliflozin,luseogliflozin,A10BK07,A10BK,Sodium-glucose co-transporter 2 (SGLT2) inhibitors,Sodium-glucose co-transporter 2 (SGLT2) inhibitors,unknown
luspatercept,luspatercept,luspatercept,B03XA06,B03XA,Other antianemic preparations,Other antianemic preparations,unknown
lusutrombopag,lusutrombopag,lusutrombopag,B02BX07,B02BX,Other systemic hemostatics,Other systemic hemostatics,unknown
lutetium 177lu oxodotreotide,lutetium (177Lu) oxodotreotide,lutetium (177Lu) oxodotreotide,V10XX04,V10XX,Various therapeutic radiopharmaceuticals,Various therapeutic radiopharmaceuticals,unknown
lutropin alfa,lutropin alfa,lutropin alfa,G03GA07,G03GA,Gonadotropins,Gonadotropins,unknown
lymecycline,lymecycline,lymecycline,J01AA04,J01AA,Tetracyclines,Tetracyclines,tetracycline
lynestrenol,lynestrenol,lynestrenol,G03DC03,G03DC,Estren derivatives,Estren derivatives,unknown
lypressin,lypressin,lypressin,H01BA03,H01BA,Vasopressin and analogues,Vasopressin and analogues,unknown
lysine,lysine,lysine,B05XB03,B05XB,Amino acids,Amino acids,unknown
lysozyme,lysozyme,lysozyme,D06BB07,D06BB,Antivirals,Antivirals,unknown
macimorelin,macimorelin,macimorelin,V04CD06,V04CD,Tests for pituitary function,Tests for pituitary function,unknown
macitentan,macitentan,macitentan,C02KX04,C02KX,Antihypertensives for pulmonary arterial hypertension,Antihypertensives for pulmonary arterial hypertension,unknown
macrogol,macrogol,macrogol,A06AD15,A06AD,Osmotically acting laxatives,Osmotically acting laxatives,unknown
mafenide,mafenide,mafenide,D06BA03,D06BA,Sulfonamides,Sulfonamides,unknown
magaldrate,magaldrate,magaldrate,A02AD02,A02AD,"Combinations and complexes of aluminium, calcium and magnesium compounds","Combinations and complexes of aluminium, calcium and magnesium compounds",unknown
magnesium aspartate,magnesium aspartate,magnesium aspartate,A12CC05,A12CC,Magnesium,Magnesium,unknown
magnesium carbonate,magnesium carbonate,magnesium carbonate,A06AD01,A06AD,Osmotically acting laxatives,Osmotically acting laxatives,unknown
magnesium chloride,magnesium chloride,magnesium chloride,A12CC01,A12CC,Magnesium,Magnesium,unknown
magnesium citrate,magnesium citrate,magnesium citrate,A12CC04,A12CC,Magnesium,Magnesium,unknown
magnesium gluconate,magnesium gluconate,magnesium gluconate,A12CC03,A12CC,Magnesium,Magnesium,unknown
magnesium hydroxide,magnesium hydroxide,magnesium hydroxide,A02AA04,A02AA,Magnesium compounds,Magnesium compounds,unknown
magnesium lactate,magnesium lactate,magnesium lactate,A12CC06,A12CC,Magnesium,Magnesium,unknown
magnesium levulinate,magnesium levulinate,magnesium levulinate,A12CC07,A12CC,Magnesium,Magnesium,unknown
magnesium orotate,magnesium orotate,magnesium orotate,A12CC09,A12CC,Magnesium,Magnesium,unknown
magnesium oxide,magnesium oxide,magnesium oxide,A06AD02,A06AD,Osmotically acting laxatives,Osmotically acting laxatives,unknown
magnesium peroxide,magnesium peroxide,magnesium peroxide,A02AA03,A02AA,Magnesium compounds,Magnesium compounds,unknown
magnesium phosphate,magnesium phosphate,magnesium phosphate,B05XA10,B05XA,Electrolyte solutions,Electrolyte solutions,unknown
magnesium pidolate,magnesium pidolate,magnesium pidolate,A12CC08,A12CC,Magnesium,Magnesium,unknown
magnesium pyridoxal 5-phosphate glutamate,magnesium pyridoxal 5-phosphate glutamate,magnesium pyridoxal 5-phosphate glutamate,C10AX07,C10AX,Other lipid modifying agents,Other lipid modifying agents,unknown
magnesium silicate,magnesium silicate,magnesium silicate,A02AA05,A02AA,Magnesium compounds,Magnesium compounds,unknown
magnesium sulfate,magnesium sulfate,magnesium sulfate,A06AD04,A06AD,Osmotically acting laxatives,Osmotically acting laxatives,unknown
malathion,malathion,malathion,P03AX03,P03AX,"Other ectoparasiticides, incl. scabicides","Other ectoparasiticides, incl. scabicides",unknown
mandelic acid,mandelic acid,mandelic acid,J01XX06,J01XX,Other antibacterials,Other antibacterials,unknown
mangafodipir,mangafodipir,mangafodipir,V08CA05,V08CA,Paramagnetic contrast media,Paramagnetic contrast media,unknown
manidipine,manidipine,manidipine,C08CA11,C08CA,Dihydropyridine derivatives,Dihydropyridine derivatives,unknown
mannitol,mannitol,mannitol,A06AD16,A06AD,Osmotically acting laxatives,Osmotically acting laxatives,unknown
mannosulfan,mannosulfan,mannosulfan,L01AB03,L01AB,Alkyl sulfonates,Alkyl sulfonates,unknown
maprotiline,maprotiline,maprotiline,N06AA21,N06AA,Non-selective monoamine reuptake inhibitors,Non-selective monoamine reuptake inhibitors,unknown
maraviroc,maraviroc,maraviroc,J05AX09,J05AX,Other antivirals,Other antivirals,unknown
maribavir,maribavir,maribavir,J05AX10,J05AX,Other antivirals,Other antivirals,unknown
masitinib,masitinib,masitinib,L01EX06,L01EX,Other protein kinase inhibitors,Other protein kinase inhibitors,unknown
masoprocol,masoprocol,masoprocol,L01XX10,L01XX,Other antineoplastic agents,Other antineoplastic agents,unknown
mazaticol,mazaticol,mazaticol,N04AA10,N04AA,Tertiary amines,Tertiary amines,unknown
mazindol,mazindol,mazindol,A08AA05,A08AA,Centrally acting antiobesity products,Centrally acting antiobesity products,unknown
measles immunoglobulin,measles immunoglobulin,measles immunoglobulin,J06BB14,J06BB,Specific immunoglobulins,Specific immunoglobulins,unknown
mebendazole,mebendazole,mebendazole,P02CA01,P02CA,Benzimidazole derivatives,Benzimidazole derivatives,unknown
mebeverine,mebeverine,mebeverine,A03AA04,A03AA,"Synthetic anticholinergics, esters with tertiary amino group","Synthetic anticholinergics, esters with tertiary amino group",unknown
mebhydrolin,mebhydrolin,mebhydrolin,R06AX15,R06AX,Other antihistamines for systemic use,Other antihistamines for systemic use,antihistamine
mebutamate,mebutamate,mebutamate,N05BC04,N05BC,Carbamates,Carbamates,unknown
mebutizide,mebutizide,mebutizide,C03AA13,C03AA,"Thiazides, plain","Thiazides, plain",unknown
mecamylamine,mecamylamine,mecamylamine,C02BB01,C02BB,Secondary and tertiary amines,Secondary and tertiary amines,unknown
mecasermin,mecasermin,mecasermin,H01AC03,H01AC,Somatropin and somatropin agonists,Somatropin and somatropin agonists,unknown
mecasermin rinfabate,mecasermin rinfabate,mecasermin rinfabate,H01AC05,H01AC,Somatropin and somatropin agonists,Somatropin and somatropin agonists,unknown
mecillinam,mecillinam,mecillinam,J01CA11,J01CA,Penicillins with extended spectrum,Penicillins with extended spectrum,penicillin
meclocycline,meclocycline,meclocycline,D10AF04,D10AF,Antiinfectives for treatment of acne,Antiinfectives for treatment of acne,unknown
meclofenamic acid,meclofenamic acid,meclofenamic acid,M01AG04,M01AG,Fenamates,Fenamates,nsaid
meclofenoxate,meclofenoxate,meclofenoxate,N06BX01,N06BX,Other psychostimulants and nootropics,Other psychostimulants and nootropics,unknown
meclozine,meclozine,meclozine,R06AE05,R06AE,Piperazine derivatives,Piperazine derivatives,antihistamine
mecobalamin,mecobalamin,mecobalamin,B03BA05,B03BA,Vitamin B12 (cyanocobalamin and analogues),Vitamin B12 (cyanocobalamin and analogues),unknown
medazepam,medazepam,medazepam,N05BA03,N05BA,Benzodiazepine derivatives,Benzodiazepine derivatives,benzodiazepine
medical air,medical air,medical air,V03AN05,V03AN,Medical gases,Medical gases,unknown
medicinal charcoal,medicinal charcoal,medicinal charcoal,A07BA01,A07BA,Charcoal preparations,Charcoal preparations,unknown
medifoxamine,medifoxamine,medifoxamine,N06AX13,N06AX,Other antidepressants,Other antidepressants,unknown
medrogestone,medrogestone,medrogestone,G03DB03,G03DB,Pregnadien derivatives,Pregnadien derivatives,unknown
medroxyprogesterone,medroxyprogesterone,medroxyprogesterone,G03DA02,G03DA,Pregnen (4) derivatives,Pregnen (4) derivatives,unknown
medrysone,medrysone,medrysone,S01BA08,S01BA,"Corticosteroids, plain","Corticosteroids, plain",unknown
mefenamic acid,mefenamic acid,mefenamic acid,M01AG01,M01AG,Fenamates,Fenamates,nsaid
mefenorex,mefenorex,mefenorex,A08AA09,A08AA,Centrally acting antiobesity products,Centrally acting antiobesity products,unknown
mefloquine,mefloquine,mefloquine,P01BC02,P01BC,Methanolquinolines,Methanolquinolines,unknown
mefruside,mefruside,mefruside,C03BA05,C03BA,"Sulfonamides, plain","Sulfonamides, plain",unknown
megestrol,megestrol,megestrol,G03DB02,G03DB,Pregnadien derivatives,Pregnadien derivatives,unknown
meglumine antimonate,meglumine antimonate,meglumine antimonate,P01CB01,P01CB,Antimony compounds,Antimony compounds,unknown
meglutol,meglutol,meglutol,C10AX05,C10AX,Other lipid modifying agents,Other lipid modifying agents,unknown
meladrazine,meladrazine,meladrazine,G04BD03,G04BD,Drugs for urinary frequency and incontinence,Drugs for urinary frequency and incontinence,unknown
melagatran,melagatran,melagatran,B01AE04,B01AE,Direct thrombin inhibitors,Direct thrombin inhibitors,anticoagulant
melanoma vaccine,melanoma vaccine,melanoma vaccine,L03AX12,L03AX,Other immunostimulants,Other immunostimulants,unknown
melarsoprol,melarsoprol,melarsoprol,P01CD01,P01CD,Arsenic compounds,Arsenic compounds,unknown
melatonin,melatonin,melatonin,N05CH01,N05CH,Melatonin receptor agonists,Melatonin receptor agonists,unknown
meldonium,meldonium,meldonium,C01EB22,C01EB,Other cardiac preparations,Other cardiac preparations,unknown
melevodopa,melevodopa,melevodopa,N04BA04,N04BA,Dopa and dopa derivatives,Dopa and dopa derivatives,unknown
melitracen,melitracen,melitracen,N06AA14,N06AA,Non-selective monoamine reuptake inhibitors,Non-selective monoamine reuptake inhibitors,unknown
meloxicam,meloxicam,meloxicam,M01AC06,M01AC,Oxicams,Oxicams,nsaid
melperone,melperone,melperone,N05AD03,N05AD,Butyrophenone derivatives,Butyrophenone derivatives,unknown
melphalan,melphalan,melphalan,L01AA03,L01AA,Nitrogen mustard analogues,Nitrogen mustard analogues,unknown
memantine,memantine,memantine,N06DX01,N06DX,Other anti-dementia drugs,Other anti-dementia drugs,unknown
menadione,menadione,menadione,B02BA02,B02BA,Vitamin K,Vitamin K,unknown
menthae piperitae aetheroleum,menthae piperitae aetheroleum,menthae piperitae aetheroleum,A03AX15,A03AX,Other drugs for functional gastrointestinal disorders,Other drugs for functional gastrointestinal disorders,unknown
mepacrine,mepacrine,mepacrine,P01AX05,P01AX,Other agents against amoebiasis and other protozoal diseases,Other agents against amoebiasis and other protozoal diseases,unknown
mepartricin,mepartricin,mepartricin,A01AB16,A01AB,Antiinfectives and antiseptics for local oral treatment,Antiinfectives and antiseptics for local oral treatment,unknown
mepenzolate,mepenzolate,mepenzolate,A03AB12,A03AB,"Synthetic anticholinergics, quaternary ammonium compounds","Synthetic anticholinergics, quaternary ammonium compounds",unknown
mephenesin,mephenesin,mephenesin,M03BX06,M03BX,Other centrally acting agents,Other centrally acting agents,unknown
mephenoxalone,mephenoxalone,mephenoxalone,N05BX01,N05BX,Other anxiolytics,Other anxiolytics,unknown
mephentermine,mephentermine,mephentermine,C01CA11,C01CA,Adrenergic and dopaminergic agents,Adrenergic and dopaminergic agents,unknown
mephenytoin,mephenytoin,mephenytoin,N03AB04,N03AB,Hydantoin derivatives,Hydantoin derivatives,unknown
mepindolol,mepindolol,mepindolol,C07AA14,C07AA,"Beta blocking agents, non-selective","Beta blocking agents, non-selective",beta_blocker
mepivacaine,mepivacaine,mepivacaine,N01BB03,N01BB,Amides,Amides,unknown
mepixanox,mepixanox,mepixanox,R07AB09,R07AB,Respiratory stimulants,Respiratory stimulants,unknown
mepolizumab,mepolizumab,mepolizumab,R03DX09,R03DX,Other systemic drugs for obstructive airway diseases,Other systemic drugs for obstructive airway diseases,unknown
meprednisone,meprednisone,meprednisone,H02AB15,H02AB,Glucocorticoids,Glucocorticoids,unknown
meprobamate,meprobamate,meprobamate,N05BC01,N05BC,Carbamates,Carbamates,unknown
meprotixol,meprotixol,meprotixol,R05DB22,R05DB,Other cough suppressants,Other cough suppressants,unknown
meptazinol,meptazinol,meptazinol,N02AX05,N02AX,Other opioids,Other opioids,opioid
mepyramine,mepyramine,mepyramine,R06AC01,R06AC,Substituted ethylene diamines,Substituted ethylene diamines,antihistamine
mepyramine theophyllinacetate,mepyramine theophyllinacetate,mepyramine theophyllinacetate,R03DA12,R03DA,Xanthines,Xanthines,unknown
mequinol,mequinol,mequinol,D11AX06,D11AX,Other dermatologicals,Other dermatologicals,unknown
mequitazine,mequitazine,mequitazine,R06AD07,R06AD,Phenothiazine derivatives,Phenothiazine derivatives,antihistamine
merbromin,merbromin,merbromin,D08AK04,D08AK,Mercurial products,Mercurial products,unknown
mercaptamine,mercaptamine,mercaptamine,A16AA04,A16AA,Amino acids and derivatives,Amino acids and derivatives,unknown
mercaptopurine,mercaptopurine,mercaptopurine,L01BB02,L01BB,Purine analogues,Purine analogues,unknown
mercuric amidochloride,mercuric amidochloride,mercuric amidochloride,D08AK01,D08AK,Mercurial products,Mercurial products,unknown
mercuric chloride,mercuric chloride,mercuric chloride,D08AK03,D08AK,Mercurial products,Mercurial products,unknown
mercuric iodide,mercuric iodide,mercuric iodide,D08AK30,D08AK,Mercurial products,Mercurial products,unknown
mercury compounds,mercury compounds,mercury compounds,S01AX01,S01AX,Other antiinfectives,Other antiinfectives,unknown
meropenem,meropenem,meropenem,J01DH02,J01DH,Carbapenems,Carbapenems,unknown
mersalyl,mersalyl,mersalyl,C03BC01,C03BC,Mercurial diuretics,Mercurial diuretics,unknown
mesalazine,mesalazine,mesalazine,A07EC02,A07EC,Aminosalicylic acid and similar agents,Aminosalicylic acid and similar agents,unknown
mesna,mesna,mesna,R05CB05,R05CB,Mucolytics,Mucolytics,unknown
mesoridazine,mesoridazine,mesoridazine,N05AC03,N05AC,Phenothiazines with piperidine structure,Phenothiazines with piperidine structure,unknown
mesterolone,mesterolone,mesterolone,G03BB01,G03BB,5-androstanon (3) derivatives,5-androstanon (3) derivatives,unknown
mesulfen,mesulfen,mesulfen,D10AB05,D10AB,Preparations containing sulfur,Preparations containing sulfur,unknown
mesuximide,mesuximide,mesuximide,N03AD03,N03AD,Succinimide derivatives,Succinimide derivatives,unknown
metabutethamine,metabutethamine,metabutethamine,N01BA01,N01BA,Esters of aminobenzoic acid,Esters of aminobenzoic acid,unknown
metacycline,metacycline,metacycline,J01AA05,J01AA,Tetracyclines,Tetracyclines,tetracycline
metadoxine,metadoxine,metadoxine,A05BA09,A05BA,Liver therapy,Liver therapy,unknown
metahexamide,metahexamide,metahexamide,A10BB10,A10BB,Sulfonylureas,Sulfonylureas,sulfonylurea
metamfetamine,metamfetamine,metamfetamine,N06BA03,N06BA,Centrally acting sympathomimetics,Centrally acting sympathomimetics,unknown
metamizole sodium,metamizole sodium,metamizole sodium,N02BB02,N02BB,Pyrazolones,Pyrazolones,unknown
metampicillin,metampicillin,metampicillin,J01CA14,J01CA,Penicillins with extended spectrum,Penicillins with extended spectrum,penicillin
metandienone,metandienone,metandienone,A14AA03,A14AA,Androstan derivatives,Androstan derivatives,unknown
metaraminol,metaraminol,metaraminol,C01CA09,C01CA,Adrenergic and dopaminergic agents,Adrenergic and dopaminergic agents,unknown
metenolone,metenolone,metenolone,A14AA04,A14AA,Androstan derivatives,Androstan derivatives,unknown
metergoline,metergoline,metergoline,G02CB05,G02CB,Prolactine inhibitors,Prolactine inhibitors,unknown
metformin,metformin,metformin,A10BA02,A10BA,Biguanides,Biguanides,biguanide
methacetin 13c,methacetin (13C),methacetin (13C),V04CE03,V04CE,Tests for liver functional capacity,Tests for liver functional capacity,unknown
methacholine,methacholine,methacholine,V04CX03,V04CX,Other diagnostic agents,Other diagnostic agents,unknown
methadone,methadone,methadone,N07BC02,N07BC,Drugs used in opioid dependence,Drugs used in opioid dependence,unknown
methallenestril,methallenestril,methallenestril,G03CB03,G03CB,"Synthetic estrogens, plain","Synthetic estrogens, plain",unknown
methantheline,methantheline,methantheline,A03AB07,A03AB,"Synthetic anticholinergics, quaternary ammonium compounds","Synthetic anticholinergics, quaternary ammonium compounds",unknown
methapyrilene,methapyrilene,methapyrilene,R06AC05,R06AC,Substituted ethylene diamines,Substituted ethylene diamines,antihistamine
methaqualone,methaqualone,methaqualone,N05CM01,N05CM,Other hypnotics and sedatives,Other hypnotics and sedatives,unknown
metharbital,metharbital,metharbital,N03AA30,N03AA,Barbiturates and derivatives,Barbiturates and derivatives,unknown
methazolamide,methazolamide,methazolamide,S01EC05,S01EC,Carbonic anhydrase inhibitors,Carbonic anhydrase inhibitors,unknown
methdilazine,methdilazine,methdilazine,R06AD04,R06AD,Phenothiazine derivatives,Phenothiazine derivatives,antihistamine
methenamine,methenamine,methenamine,J01XX05,J01XX,Other antibacterials,Other antibacterials,unknown
methiodal,methiodal,methiodal,V08AA09,V08AA,"Watersoluble, nephrotropic, high osmolar X-ray contrast media","Watersoluble, nephrotropic, high osmolar X-ray contrast media",unknown
methionine,methionine,methionine,V03AB26,V03AB,Antidotes,Antidotes,unknown
methionine 11c,methionine (11C),methionine (11C),V09IX13,V09IX,Other diagnostic radiopharmaceuticals for tumour detection,Other diagnostic radiopharmaceuticals for tumour detection,unknown
methiosulfonium chloride,methiosulfonium chloride,methiosulfonium chloride,A02BX04,A02BX,Other drugs for peptic ulcer and gastro-oesophageal reflux disease (GORD),Other drugs for peptic ulcer and gastro-oesophageal reflux disease (GORD),unknown
methocarbamol,methocarbamol,methocarbamol,M03BA03,M03BA,Carbamic acid esters,Carbamic acid esters,unknown
methohexital,methohexital,methohexital,N01AF01,N01AF,"Barbiturates, plain","Barbiturates, plain",unknown
methoserpidine,methoserpidine,methoserpidine,C02AA06,C02AA,Rauwolfia alkaloids,Rauwolfia alkaloids,unknown
methotrexate,methotrexate,methotrexate,L04AX03,L04AX,Other immunosuppressants,Other immunosuppressants,unknown
methoxamine,methoxamine,methoxamine,C01CA10,C01CA,Adrenergic and dopaminergic agents,Adrenergic and dopaminergic agents,unknown
methoxsalen,methoxsalen,methoxsalen,D05BA02,D05BA,Psoralens for systemic use,Psoralens for systemic use,unknown
methoxy polyethylene glycol-epoetin beta,methoxy polyethylene glycol-epoetin beta,methoxy polyethylene glycol-epoetin beta,B03XA03,B03XA,Other antianemic preparations,Other antianemic preparations,unknown
methoxyflurane,methoxyflurane,methoxyflurane,N02BG09,N02BG,Other analgesics and antipyretics,Other analgesics and antipyretics,unknown
methoxyphenamine,methoxyphenamine,methoxyphenamine,R03CB02,R03CB,Non-selective beta-adrenoreceptor agonists,Non-selective beta-adrenoreceptor agonists,unknown
methyclothiazide,methyclothiazide,methyclothiazide,C03AA08,C03AA,"Thiazides, plain","Thiazides, plain",unknown
methyl aminolevulinate,methyl aminolevulinate,methyl aminolevulinate,L01XD03,L01XD,Sensitizers used in photodynamic/radiation therapy,Sensitizers used in photodynamic/radiation therapy,unknown
methylatropine,methylatropine,methylatropine,A03BB02,A03BB,"Belladonna alkaloids, semisynthetic, quaternary ammonium compounds","Belladonna alkaloids, semisynthetic, quaternary ammonium compounds",unknown
methylcellulose,methylcellulose,methylcellulose,A06AC06,A06AC,Bulk-forming laxatives,Bulk-forming laxatives,unknown
methyldopa levorotatory,methyldopa (levorotatory),methyldopa (levorotatory),C02AB01,C02AB,Methyldopa,Methyldopa,unknown
